feature,score,min,max,n_null,n_gt1w
x69,136,-1.0,66.67,130,0,numeric
x174,135,-1.0,18.45,19,0,numeric
x651,134,-1,549,19,0,numeric
x45,134,-1.0,33.5,19,0,numeric
x304,133,-1,2921,19,0,numeric
x1138,132,1,33,0,0,category
x512,132,-1,134047,19,3,numeric
x847,132,-1,628,19,0,numeric
x890,132,-1,79,4951,0,numeric
x961,132,-1,10,4421,0,numeric
x330,131,-1.0,133.398,4280,0,numeric
x33,131,-1.0,100.0,130,0,numeric
x277,130,-1,22804,19,4,numeric
x197,130,-1.0,14.77,19,0,numeric
x749,129,-1,15950,19,1,numeric
x978,129,-1,1221,19,0,numeric
x441,129,-1,15,13998,0,numeric
x431,128,-1.0,5082.35,52,0,numeric
x403,128,-1,838,19,0,numeric
x839,128,-1,50,19,0,numeric
x1109,127,1,33,0,0,category
x582,127,-1,1148,19,0,numeric
x283,127,-1,351,19,0,numeric
x980,127,-1,114,19,0,numeric
x156,127,-1.0,100.0,92,0,numeric
x75,126,-1.0,19.98,19,0,numeric
x268,125,-1,1382,19,0,numeric
x1103,125,-1,559,4951,0,numeric
x993,125,-1,357,19,0,numeric
x47,125,-1.0,53.4,92,0,numeric
x147,125,-1.0,20.32,19,0,numeric
x374,124,-1,1160,19,0,numeric
x800,124,-1,706,19,0,numeric
x1023,124,-1,487,19,0,numeric
x259,123,-1,18966,19,4,numeric
x676,123,-1,11071,19,1,numeric
x1048,123,-1,175,19,0,numeric
x221,122,-1.0,10.25,19,0,numeric
x585,121,-1,1016,19,0,numeric
x430,121,-1.0,456.0,52,0,numeric
x39,121,-1.0,17.6,19,0,numeric
x266,120,-1,876,19,0,numeric
x509,120,-1,632,19,0,numeric
x976,119,-1,2578,19,0,numeric
x704,119,-1,1070,19,0,numeric
x369,118,-1,7672,19,0,numeric
x875,117,-1,653,19,0,numeric
x1105,117,-1,446,4951,0,numeric
x215,117,-1.0,50.0,131,0,numeric
x382,116,-1,123,19,0,numeric
x1055,115,-1,866,4951,0,numeric
x579,115,-1,465,19,0,numeric
x499,115,-1,344,19,0,numeric
x765,115,-1,168,19,0,numeric
x655,115,-1,136,19,0,numeric
x748,113,-1,83075,19,72,numeric
x339,113,-1,2210,19,0,numeric
x344,113,-1.0,1325.94,34,0,numeric
x648,113,-1,398,6585,0,numeric
x700,113,-1,103,19,0,numeric
x387,113,-1,96,19,0,numeric
x531,111,-1,8072,19,0,numeric
x647,111,-1,395,10188,0,numeric
x605,110,-1,431,19,0,numeric
x733,110,-1,196,19,0,numeric
x386,110,-1,144,19,0,numeric
x394,110,-1,72,19,0,numeric
x837,109,-1,146502,19,4,numeric
x342,109,-1,5613,19,0,numeric
x782,109,-1,5309,19,0,numeric
x198,109,-1.0,23.6,19,0,numeric
x574,108,-1,150503,19,2,numeric
x506,108,-1,1075,19,0,numeric
x982,108,-1,172,19,0,numeric
x393,107,-1,2322,19,0,numeric
x988,107,-1,545,19,0,numeric
x265,106,-1,21837,19,2,numeric
x1104,106,-1,322,4951,0,numeric
x960,106,-1.0,292.26,4421,0,numeric
x1137,104,1,8,0,0,category
x1064,104,-1,362,4951,0,numeric
x851,104,-1,117,19,0,numeric
x307,102,-1,1691,19,0,numeric
x984,102,-1,40,19,0,numeric
x355,101,0.03,18676.0,0,7,numeric
x360,101,0.0,11278.0,0,1,numeric
x573,101,-1,134047,19,1,numeric
x306,101,-1.0,620.0,19,0,numeric
x61,100,-1.0,34.15,83,0,numeric
x818,99,-1,385,13010,0,numeric
x396,99,-1,295,19,0,numeric
x990,99,-1,292,19,0,numeric
x777,99,-1,150,19,0,numeric
x1005,98,-1,73,19,0,numeric
x1117,97,1,35,0,0,category
x533,97,-1,690,19,0,numeric
x985,97,-1,175,19,0,numeric
x429,96,-1,1481,52,0,numeric
x1003,96,-1,222,19,0,numeric
x338,95,-1,3538,19,0,numeric
x401,95,-1,505,19,0,numeric
x933,95,-1,71,4951,0,numeric
x954,95,-1,18,4421,0,numeric
x380,95,-1,16,19,0,numeric
x410,94,-1.0,2306.0,19,0,numeric
x256,93,-1,375,19,0,numeric
x966,92,-1.0,22414532.0,12142,1844,numeric
x522,92,-1,38435,19,7,numeric
x341,92,-1,3520,19,0,numeric
x703,92,-1,2692,19,0,numeric
x497,92,-1,433,83,0,numeric
x697,92,-1,98,19,0,numeric
x624,91,-1,18540,19,1,numeric
x850,91,-1,11341,19,2,numeric
x1072,91,-1,9409,4951,0,numeric
x485,91,-1,5555,20,0,numeric
x1008,90,-1,73,19,0,numeric
x1016,90,-1,36,19,0,numeric
x1114,89,1,36,0,0,category
x347,89,0.0,1597488.0,0,13231,numeric
x835,89,-1,9415,19,0,numeric
x589,89,-1,3286,19,0,numeric
x294,89,-1,1325,19,0,numeric
x1020,89,-1,239,19,0,numeric
x1078,89,-1.0,220.85,4951,0,numeric
x732,89,-1,147,19,0,numeric
x470,88,0,398,0,0,numeric
x736,88,-1,121,19,0,numeric
x545,87,-1,1321,19,0,numeric
x762,87,-1,646,19,0,numeric
x349,86,0.0,92.17,0,0,numeric
x1083,86,-1,2705,4951,0,numeric
x1090,86,-1,2303,4951,0,numeric
x1108,85,1,36,0,0,category
x677,85,-1,16777,19,2,numeric
x1074,85,-1,12359,4951,1,numeric
x594,85,-1,4373,19,0,numeric
x983,85,-1,115,19,0,numeric
x1059,84,-1,930,4951,0,numeric
x370,83,-1,10536,19,1,numeric
x334,83,-1,5,19,0,numeric
x1115,82,1,36,0,0,category
x657,82,-1,368,19,0,numeric
x709,82,-1,77,19,0,numeric
x340,81,-1,5913,19,0,numeric
x1015,81,-1,825,19,0,numeric
x576,81,-1,273,19,0,numeric
x646,81,-1,237,13169,0,numeric
x459,80,0,925,0,0,numeric
x968,80,-1,22414532,12142,1209,numeric
x611,80,-1,150503,19,4,numeric
x602,80,-1,1050,19,0,numeric
x388,80,-1,265,19,0,numeric
x377,80,-1,43,19,0,numeric
x1116,79,1,36,0,0,category
x770,79,-1,186,19,0,numeric
x242,78,-1,13642,19,1,numeric
x1011,78,-1,89,19,0,numeric
x446,78,-1,16,13651,0,numeric
x838,77,-1,913,19,0,numeric
x672,77,-1,103,19,0,numeric
x844,76,-1,9519,19,0,numeric
x273,76,-1,340,19,0,numeric
x684,76,-1,122,19,0,numeric
x1087,75,-1,9995,4951,0,numeric
x806,75,-1,106,19,0,numeric
x675,75,-1,87,19,0,numeric
x343,74,-1.0,999.46,170,0,numeric
x1135,73,1,36,0,0,category
x461,73,0,50,0,0,numeric
x803,73,-1,249,19,0,numeric
x510,73,-1,103,19,0,numeric
x802,72,-1,4704,19,0,numeric
x170,72,-1.0,19.9,19,0,numeric
x756,71,-1,6508,19,0,numeric
x402,71,-1,95,19,0,numeric
x870,71,-1,25,19,0,numeric
x375,70,-1,44,19,0,numeric
x414,70,-1,14,19,0,numeric
x780,70,-1,10,44,0,numeric
x693,69,-1,1536,19,0,numeric
x480,69,-1,562,21,0,numeric
x902,69,-1,79,4951,0,numeric
x639,69,-1,12,19,0,numeric
x1084,68,-1,1065,4951,0,numeric
x526,68,-1,240,19,0,numeric
x535,68,-1,119,19,0,numeric
x390,68,-1,34,19,0,numeric
x1028,68,-1,28,19,0,numeric
x962,68,-1,19,4421,0,numeric
x967,67,-1,22414532,12142,1881,numeric
x532,67,-1,6188,19,0,numeric
